Running with 50000 chromosomes for 1 generations
Chromosome stats:
  IN_H: 12
  IN_W: 12
  HLC: 2
  NPL: 128
Level seed: 1215069295
srand seed: 10
----------------------------
Running generation 1/1
Player 445 fitness: 96.1333
Player 446 fitness: 95.5667
Player 447 fitness: 99.7667
Player 448 fitness: 608.5667
Player 449 fitness: 121.4000
Player 450 fitness: 99.7667
Player 451 fitness: 181.8333
Player 452 fitness: 253.4333
Player 453 fitness: 188.1333
Player 454 fitness: 95.3667
Player 455 fitness: 95.3667
Player 456 fitness: 99.7667
Player 457 fitness: 865.3666
Player 458 fitness: 95.3667
Player 459 fitness: 95.5667
Player 460 fitness: 95.5667
Player 461 fitness: 95.5667
Player 462 fitness: 158.7333
Player 463 fitness: 95.5667
Player 464 fitness: 124.8667
Player 465 fitness: 124.8667
Player 466 fitness: 162.7667
Player 467 fitness: 95.5667
Player 468 fitness: 95.5667
Player 469 fitness: 95.5667
Player 470 fitness: 96.1333
Player 471 fitness: 99.7667
Player 472 fitness: 258.9333
Player 473 fitness: 99.7667
Player 474 fitness: 972.6000
Player 475 fitness: 96.1333
Player 476 fitness: 99.9667
Player 477 fitness: 95.3667
Player 478 fitness: 96.1333
Player 479 fitness: 95.3667
Player 480 fitness: 426.2000
Player 481 fitness: 145.3333
Player 482 fitness: 99.9667
Player 483 fitness: 145.2000
Player 484 fitness: 99.7667
Player 485 fitness: 205.4667
Player 486 fitness: 96.1333
Player 487 fitness: 95.5667
Player 488 fitness: 99.7667
Player 489 fitness: 99.9667
Player 490 fitness: 99.9667
Player 491 fitness: 95.5667
Player 492 fitness: 99.9667
Player 493 fitness: 95.5667
Player 494 fitness: 489.2667
Player 495 fitness: 95.5667
Player 496 fitness: 95.3667
Player 497 fitness: 95.5667
Player 498 fitness: 96.1333
Player 499 fitness: 542.7333
Player 500 fitness: 275.5334
Player 501 fitness: 99.7667
Player 502 fitness: 99.7667
Player 503 fitness: 1005.0666
Player 504 fitness: 99.9667
Player 505 fitness: 99.7667
Player 506 fitness: 144.0000
Player 507 fitness: 114.2667
Player 508 fitness: 443.0334
Player 509 fitness: 99.9667
Player 510 fitness: 293.4000
Player 511 fitness: 99.7667
Player 512 fitness: 95.5667
Player 513 fitness: 151.2000
Player 514 fitness: 96.1333
Player 515 fitness: 96.1333
Player 516 fitness: 556.3000
Player 517 fitness: 248.5000
Player 518 fitness: 95.5667
Player 519 fitness: 95.3667
Player 520 fitness: 96.1333
Player 521 fitness: 95.5667
Player 522 fitness: 95.5667
Player 523 fitness: 95.3667
Player 524 fitness: 516.6000
Player 525 fitness: 426.2000
Player 526 fitness: 99.7667
Player 527 fitness: 99.7667
Player 528 fitness: 172.7333
Player 529 fitness: 95.5667
Player 530 fitness: 99.9667
Player 531 fitness: 99.7667
Player 532 fitness: 96.1333
Player 533 fitness: 96.1333
Player 534 fitness: 95.5667
Player 535 fitness: 95.3667
Player 536 fitness: 440.5334
Player 537 fitness: 96.1333
Player 538 fitness: 147.7667
Player 539 fitness: 95.5667
Player 540 fitness: 96.1333
Player 541 fitness: 695.1333
Player 542 fitness: 99.7667
Player 543 fitness: 95.5667
Player 544 fitness: 153.0000
Player 545 fitness: 96.1333
Player 546 fitness: 96.1333
Player 547 fitness: 95.5667
Player 548 fitness: 99.7667
Player 549 fitness: 145.2000
Player 550 fitness: 96.1333
Player 551 fitness: 99.9667
Player 552 fitness: 297.9333
Player 553 fitness: 95.5667
Player 554 fitness: 526.5333
Player 555 fitness: 99.9667
Player 556 fitness: 170.6000
Player 557 fitness: 145.2000
Player 558 fitness: 95.5667
Player 559 fitness: 143.6000
Player 560 fitness: 96.1333
Player 561 fitness: 840.8999
Player 562 fitness: 245.4000
Player 563 fitness: 95.3667
Player 564 fitness: 99.7667
Player 565 fitness: 95.3667
Player 566 fitness: 168.3000
Player 567 fitness: 124.8667
Player 568 fitness: 95.5667
Player 569 fitness: 95.5667
Player 570 fitness: 95.3667
Player 571 fitness: 99.7667
Player 572 fitness: 95.5667
Player 573 fitness: 96.1333
Player 574 fitness: 100.0333
Player 575 fitness: 335.4667
Player 576 fitness: 95.3667
Player 577 fitness: 506.8000
Player 578 fitness: 216.3000
Player 579 fitness: 95.3667
Player 580 fitness: 124.8667
Player 581 fitness: 96.1333
Player 582 fitness: 95.3667
Player 583 fitness: 95.5667
Player 584 fitness: 186.4000
Player 585 fitness: 96.1333
Player 586 fitness: 99.9667
Player 587 fitness: 454.1000
